ferns,tails,docks,tours,tracks,flights,decorations
agora,square,public square,solid,weather,park,eastern
passengers,people,riders,persons,tourists,celebrations,adventures
domestic,domesticated,servant,help,close,former,future
week,weekend,time,count,holiday,week,trend
kilometers,calculations,manual,klicks,flights,belongings,years
acquisition,science,skill,acquirement,investment,growth,subsidiary
questers,seekers,persons,investment,searchers,players,analysts
investment,investing,investiture,induction,world,economist,economy
properties,home,minutes,months,identify,lay,affiliates
report,explanation,describe,country,growth,history,property
profit,benefit,gain,do good,income,performance,economy
numbers,count,amount,total,companies,investors,times
assemble,see,cope with,gathering,government,meeting,express
vision,imagination,imagery,resource,dream,extremist,drawing
criminal,turn,outlaw,bend,terrorist,arrestment,young
achievements,skills,accomplishments,services,acquirement,attacks,terrorists
alternative,prime,selection,select,government,security,statement
poverty,poorness,impoverishment,badness,express,assault,year
comparison,equation,below,statement,inequality,government,state
infected,septic,tainted,corrupted,hit,worked,infecting
virus,computer virus,headache,happiness,damage,hurt,difficulty
resources,imagination,plenty,resourcefulness,calories,issues,symptoms
assistance,assistant,assist,serving,world,twice,holiday
memories,remembering,stores,retentiveness,calories,issues,stories